InstructorStrength,InstructorRecommend,CommentsOnEffective
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
"Same a previous weeks.",{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
"He is an enthusiastic speaker with great study guides. It's much appreciated!",{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},"Needed more time! The lecture went too fast at the end.",{question_not_shown}
"Dr. Schnapp has provided terrific resources for histology. Thanks again!",{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},"Great lecturer but would have preferred to have this lecture later in the week. I realize this is most likely a scheduling issue, but I figured it was worth mentioning.",{question_not_shown}
{question_not_shown},"Would have liked this lecture earlier in the week, but otherwise excellent lecture.",{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
"Your slides were well organized and made a lot of sense","I know you were crunched on time, but it was hard to follow the lecture because it was so fast-paced. It would be helpful if your lecture could have a longer time slot so we could have more time to adequately take in all of the important information you're teaching us.",{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},"I thought that diuretics were not sufficiently emphasized in lecture compared to their representation on the weekly assessment."
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},"Regarding the Pulmonology Final: In the future, I recommend providing questions where there is only one correct answer. A significant portion of questions on the final exam came across as guess-what-I'm-thinking type of questions rather than testing our knowledge on the facts about (patho)physiology of the pulmonary system. After thinking back on the exam questions and reviewing the lecturers' slides, there were several questions in which multiple answers could have been justified depending on the context (which was often not provided)."
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
n/a,n/a,n/a
"very knowledgeable.",n/a,"please allot more lecture time for her subject"
n/a,n/a,n/a
n/a,n/a,n/a
n/a,n/a,n/a
n/a,n/a,n/a
n/a,n/a,n/a
n/a,n/a,n/a
{question_not_shown},{question_not_shown},{question_not_shown}
"Dr. Iragorri is always willing to answer questions and help students. I love her enthusiasm and her passion is apparent in her teaching.",{question_not_shown},"Last year that ammonia lecture was given over two hours and it felt incredibly rushed to be given over an hour and a half. I had to teach myself most of the material because we went so fast over these concepts in class. This lecture needs more time."
{question_not_shown},{question_not_shown},"I love the structure of the histology classes now! Please don't change them!"
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
"Your presentation of the material was clear and obviously well thought out. The overview on Monday was great as was the wednesday session. Really helped with the ""Big"" ideas.","Only that you would maybe take on more or the sessions? Not possible?",{question_not_shown}
"Listened to feedback about the flipped classroom material. Clear and straight forward.","Any chance you can get rid of slidebox? no? ok.",{question_not_shown}
"In the first week of Renal I had Dr. Cohen for small groups and he definitely threw me. But having gotten to appreciate more of his lectures I am firmly on board now. He focuses on the big ideas, has a clear presentation of the foundational knowledge, and his lectures follow a logical pattern. Plus he repeats the important stuff that might otherwise confuse the hell out of us without constant repetition.","Not yet.",{question_not_shown}
"I felt like I got at least the basics out of this which speaks to his presentation.","A lot of my classmates struggled with the idea of the potassium shift (intracellular to extra and vice versa) so may a little more emphasis and clarity of that point.","Having this lecture before some of the small group work on tuesday would have been helpful."
"Felt like a really solid presentation of the basics.",Nope,{question_not_shown}
"Clear and efficient. I can appreciate that.","I had him for small groups as well and my only recommendation would be to introduce yourself.",{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},"Lectures like the one on Wednesday of week 5 are not useful for our education. Two hours of information should not be crammed into less than 1 hour. If you are asked to provide the students with a 1 hour lecture, please provide 1 hour worth of lecture information. Also, don't answer questions by trying to give the entire big picture and details at once. This is not effective as we know only enough to grasp the details or the big picture and thus the majority of us will loose both aspects while trying to keep up with your explanation. It is impressive to give everything at once, but we are not knowledgeable enough to handle it yet.","It was not very effective."
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
"Pre-lectures are incredibly thorough. Once again, the perfect example of how flipped class should be.",{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},"Please include all drawings on the monitor when going through. Awesome lectures still!",{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},"Please use a white background, not blue.",{question_not_shown}
"Seems very involved and clearly wants to make sure we understand this material.",{question_not_shown},{question_not_shown}
"Appropriate speed and amount of information for the time provided. Thank you!",{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
"Working through problems together as a class is very useful.",{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
"Encourages all to participate, and a positive energy for those early Monday mornings",{question_not_shown},{question_not_shown}
"Positive and really knowledgeable. I really appreciate the hand drawn diagrams.","Keep an eye on time.... this may be more of a critique of the time she was given to present a lecture, and not a critique of the instruction itself.",{question_not_shown}
"Incredibly positive and knowledgeable. Her excitement about teaching this material is infectious.","Lecture seemed very broad, and there was so much material offered in such little time, that a lot of the key points were lost by the rushed pace.","Focusing more on ""what we need to know"" first, and allowing questions to ensure everyone understands the material before moving on will make this lecture more effective. Perhaps offering more time, and slowing the pace will make the 'take home' messages more clear, and the overall presentation less daunting."
"Again very positive (we had a lot of great energy this week.) I really appreciate that he continues to work with how this material is presented and taught. Every time a new histology class is presented, a he has tweaked the presentation, keeping what works and improving upon what wasn't as effective from the previous session. The pre-lecture is great. The annotated slides are wonderful resources. This time there was even an added video within the lecture that cleared up a renal process perfectly.","Keep doing what you are doing... and allow these classes to continue to evolve. It just keeps getting better and more valuable.",{question_not_shown}
"Good humor and clear instruction","Sometimes, there is material that, although very valuable, may ultimately confuse those of us that are just learning the subject for the first time. ""Not even the majority practicing doctors know this but..."" may be material that could muddy the waters of understanding more that provide clarity. I am not suggesting that Cohen, not provide this information. I am merely suggesting he provides this information, knowing that it has the potential of confusing some.",{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
"Good humor, and well paced. Added thanks, for making sure students are using microphone when asking questions.",{question_not_shown},{question_not_shown}
"Clear lecture, and I appreciate that she values our time and the subject she was discussing. Extra thanks, for making sure students are using microphones when asking questions.",{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
"Very good teacher who understands where the students are coming from",{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
"I love Dr. Deloughery's energy and he makes whatever topic he's teaching fun and engaging!","Having 100 slides for a one hour session is way too many even if we go through them quickly","The diseases mentioned in this hour aren't very high yield for the boards, but the body's adaptation to altitude is, so please keep this session for next year. It was very very helpful for understand altitude physiology."
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
"I really appreciate the handouts. I think they would be slightly more helpful if they had slightly less text however, allowing the students to fill in the information with notes.",{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},"I think the PowerPoint was well-organized but I do think it could be a little less detail-oriented.",{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
"personable, related well to students.  i particularly appreciated his acknowledging that his last-minute changes to slides caused a mild problem for students.  this went a long way to building rapport.  within a few minutes of his lecture, one could hear students whispering ""we need to hear more from this guy"".  overall, a well received lecturer, and students would welcome him in the future.",{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
"Does a great job facilitating monday TBL.",{question_not_shown},{question_not_shown}
"She does great working through difficult concepts with us. Her study guides are great supplements as well.",{question_not_shown},{question_not_shown}
"She is very knowledgeable and nice.","She needs more time to lecture, especially with &gt;100 slides. She seemed very rushed and as a result blew through many deep topics.",{question_not_shown}
"I very much appreciate how much of our feedback Dr. Schnapp has implemented into histology. He makes it something to look forward to now.",{question_not_shown},"Please encourage others to learn from his teaching style."
"He does a great job of breaking down the difficult concepts into managable chunks and repeats the most important information",{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
"Makes it very casual and easy to learn",{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
"Dr. Gold makes all of these concepts easy to understand and ran through the problem with the same steps. By the end of the hour I felt very comfortable analyzing blood gases.",{question_not_shown},"This would have been super helpful in the beginning of the pulmonology chunk. Dr. Gold was the first person to really explain what an ABG was and talk about normal. I wish I would have known this information day one since that would have made learning other material so much better."
{question_not_shown},{question_not_shown},"This was a good session for understanding everything about lung cancer except for the actual types. We never went into detail about the different types of lung cancer and malignant mesothelioma was only mentioned in the study guide not in lecture."
{question_not_shown},{question_not_shown},"We talked more about the pulmonary vasculature and Swan-Ganz catheters than about pulmonary hypertension. We only covered PAH and barely even touched on the other four classes of PH."
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
"My favorite thing about your lecture were your pediatric cases! They were so helpful in tying pieces together and really helped me to make sure that I am seeing the person and not just the numbers. It was also helpful to put the information into context, creating a place in my mind where I can envision myself treating this patient using the lessons learned from class. As you remarked, you had 2 hours to present the information that you did so my recommendation would be to have more time for your topic. I thought it was very important and like you, would have liked more time so it wouldn't have been as rushed. However, I understand the time constraint. Thank you for your time and effort with our class!",{question_not_shown},{question_not_shown}
"Thank you for reviewing the key highlights from the take-home video for us as we started class. I thought you did a good job emphasizing main points and going through the cases with us. The only thing that was somewhat off-putting was that your answer on a question (for example, to use loop instead of thiazide) was inconsistent with the text. I know you talked to us about that these slides were not necessarily yours but I think that was confusing. If you could provide a more clearer picture of your clinical decision making for different classes of diuretics, I think that would help students.",{question_not_shown},{question_not_shown}
"Excellent organization! Sometimes the organization of a lecture can get convoluted in all the details so I really appreciated you bringing us back to home-base with the overview slides. I also enjoyed your emphasis on diet and nutrition as contributing to or helping to solve the problems discussed. The case examples were also very illustrative and helped in remembering key concepts. Excellent job!",{question_not_shown},{question_not_shown}
"Lecture slides and instruction were very clear and logical. In fact, when I was just about to ask a question, you would answer it on the next slide, showing me that you have an understanding of how our minds work. The only two recommendations I have for you are minor. The blue slides with yellow font can be hard on the eyes and difficult to write notes on (black ink doesn't show up well). Also, if you could use a mouse or something similar instead of a laser pointer so that it can be seen on multiple screens and can be seen when re-watched at home. Otherwise, I appreciated your lecture and could look back at your lecture to clarify some topics brought up later in the week.",{question_not_shown},{question_not_shown}
"You were very well structured and provided clear examples and objectives for what you wanted us to learn. You had some pieces of humor which showed us that you understand our situation and also have a sense of what we have just gone through.",{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},"Please try to shorten powerpoint to max of 45 slides/hr",{question_not_shown}
{question_not_shown},"Please try to shorten powerpoint to max of 45 slides/hr",{question_not_shown}
{question_not_shown},"Please try to shorten powerpoint to max of 45 slides/hr",{question_not_shown}
{question_not_shown},"Please try to shorten powerpoint to max of 45 slides/hr",{question_not_shown}
{question_not_shown},"Please try to shorten powerpoint to max of 45 slides/hr",{question_not_shown}
{question_not_shown},"Please try to shorten powerpoint to max of 45 slides/hr",{question_not_shown}
{question_not_shown},"Please try to shorten powerpoint to max of 45 slides/hr",{question_not_shown}
{question_not_shown},"Please try to shorten powerpoint to max of 45 slides/hr",{question_not_shown}
{question_not_shown},"Please try to shorten powerpoint to max of 45 slides/hr",{question_not_shown}
"Clear explanations of the concepts, good 'quizzes' in lecture with explanations of the structure we are looking at. Videos and in-person mini lectures are relavant to the concepts.",{question_not_shown},"Im really enjoying the flipped classroom format now that I have a good grip on it."
{question_not_shown},{question_not_shown},{question_not_shown}
"Great focus on clinical correlates of potassium disturbance disorders, starting from first principles.",{question_not_shown},{question_not_shown}
"I enjoyed this lecture a lot, Dr Watnick's slides were great for studying with lots of details. She explained the different unique aspects of metabolic alkaloses (generation, maintenance factors etc). Brought clinical relevance.","Not slide with dark backgrounds.","This lecture came before I really had a mental schema in which to place metabolic alkalosis vs acidosis vs respiratory disorders. First aid has a great diagram to map thought this. Might be helpful to have an overall concept map before going into this kind of material."
"FABULOUS FABULOUS lecturer and group discussion leader. Lots of material on his slides, simple explanations, cases to lead us through the","A handout with the main take away concepts e.g. the 'rules of thumb' formulae.",{question_not_shown}
"Engaging and fun lecturer, good slides, strong study guide.",{question_not_shown},{question_not_shown}
Na,Na,Na
Na,Na,Na
Enthusiasm.,Na,Na
Na,Na,Na
Na,Na,Na
Na,Na,Na
Na,Na,Na
Na,Na,Na
Na,Na,Na
{question_not_shown},{question_not_shown},{question_not_shown}
"Fantastic instructor.  I did so well during this week because of her study guides.  As someone who learns best through reading, I absolutely loved her study guides.",none,"I am glad we had more than one lecture from Dr. Brooks.  She is an excellent instructor."
{question_not_shown},"I felt she explained concepts using too general of terms.  Moreover, when she was explaining the urinary anion gap, I felt like she was not using precise enough language to describe concepts.",{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
"I loved Dr. Cohen's study guides.  I always perform my best when I can learn materiel through reading so I know I did better this week because of his thorough study guides.  I should add that those study guides were well written and organized.",{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
"I love this professor for her infectious enthusiasm, wealth of knowledge, and unique teaching style.  She also taught my small group, which I found to be highly informative. I hope that she returns to teach next week's renal material.",{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},"Needs to make clear objectives, and stay focused to the material that needs to be presented in the week.","Make the questions submitted to the exam clear and objective. Too often, the questions seem to be a guess on what is on Dr. Moulton's mind."
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
"I really like that you put the ""notes"" in the PDF. Your pre-lab videos really help me to understand the material before coming into lab. Having the labeled slides available to review before lab is SO helpful, thank you!",{question_not_shown},{question_not_shown}
"You are really great at taking complex concepts and breaking them down into manageable and understandable chunks and your study guides are GOLD. I also like that you inject a little humor into your lectures, it makes them really enjoyable!","I find your study guides extremely helpful, and would have really liked to have one for your Diuretics lecture!",{question_not_shown}
"Great lecture and AMAZING study guide. Thank you for taking the time to making it so thorough--it really helped me to learn the material.",{question_not_shown},{question_not_shown}
"You are a fun and engaging lecturer!","Many instructors have chosen to provide us with study guides for their material and we have found this VERY helpful, particularly when trying to grasp this more complex material. Please consider creating a study guide for your lecture material. Thank you!",{question_not_shown}
"Lecture was easy to understand and well structured","Many instructors have chosen to provide us with study guides for their material and we have found this VERY helpful, particularly when trying to grasp this more complex material. Please consider creating a study guide for your lecture material. Thank you!",{question_not_shown}
"You are a great lecturer! Thank you for the amazing study guide--it is so helpful in understanding this complex material!",{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
"Kind affect, super knowledgable","Way too fast, we are new at this. It was really hard to stay with your lecture at the pace. Lastly, you do lots of gesturing (which I love, especially the enthusiasm) however, if you drew out a coupe of the things out it would be really helpful. Hard to follow the gesturing alone.",{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},"Please slow down next time! Was very hard to follow since we were going so fast and ran out of time.",{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
"Really appreciated the study guide!!!","Would love to have recommendations for youtube videos/Kahn academy videos to watch",{question_not_shown}
"Love the passion, enthusiasm and energy this week! The cases on Tues/Thurs were great.","I recommend lectures contain less slides and are more basic/straightforward. Got a little lost in all of the new information presented and too much information presented in alotted time",{question_not_shown}
"Loved the short, sweet and to the point info provided and time to work through material.","Slidebox is NOT working for ms. It's slow, crashes, and not a good system for such a large class. Also, study guide was a little too long. 3-4 pages would be plenty!",{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
"I really like Dr. Brooks's lectures - they are clear, concise and easy to follow.  I like the way that she integrates drawing things out into her powerpoint presentations.  It's extremely helpful to have the slides to take notes!",{question_not_shown},{question_not_shown}
"I enjoyed Dr. Iragorri's lecture - it definitely was a bit rushed, but I thought that her slides were clear, so it was easy for me to go back over them and teach myself the material.  I liked all the case examples and the fact that she gave us full lab panels for each patient.",{question_not_shown},{question_not_shown}
"I love the annotated slide box and the way that histology sections are now organized.  The pre-videos are a helpful introduction and the questions at the end are a good way to consolidate information and correct any lingering misunderstandings.",{question_not_shown},{question_not_shown}
"I really like Dr. Cohen's lectures - I find him to be a great lecturer - extremely clear and easy to follow.",{question_not_shown},{question_not_shown}
"I really enjoyed Dr. Rozansky's lecture - it was well organized and clear.",{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
"I really liked Dr. Wisirika - he has a great sense of humor and did a nice job of teaching a complicated subject.  I liked all of the examples he gave and appreciated that he taught things in a very organized manner.",{question_not_shown},{question_not_shown}
"I really liked Dr. Dirkx - she's very funny and explained things very clearly.  I know she said that she wasn't an expert on BP control at the beginning of class, but I didn't feel that way at all during the lecture.",{question_not_shown},{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
"The study guides were fairly helpful.","Some material covered in the study guide were not covered during lecture at all.",{question_not_shown}
{question_not_shown},"Dr. Iragorri is very enthusiastic but due to limited time, the lecture was very rushed.",{question_not_shown}
{question_not_shown},{question_not_shown},{question_not_shown}
"The lectures are very clear and concise. The study guides were helpful in explaining the main concept with greater details.",{question_not_shown},{question_not_shown}
